link,name,price,city
https://www.google.com/travel/hotels/Marrakesh/entity/ChcIluSkpJGAkpJeGgsvZy8xdGdteG12ZBAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0COMBEMr3BGoYChMI2MPItMGV-wIVAAAAAB0AAAAAEIIB&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,ibis Marrakech Centre Gare,503,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChkIv77V7e_Eq-6kARoML2cvMTJocnlnemN5EAE?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CPkBEMr3BGoYChMI2MPItMGV-wIVAAAAAB0AAAAAEIIB&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Es Saadi,1555,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChcIkPL0z5e_vuZnGgsvZy8xd25mMmRoMxAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CAIQyvcEahgKEwjYw8i0wZX7AhUAAAAAHQAAAAAQvgE&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Adam Park Marrakech,993,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChkIstLv96D2h7-pARoML2cvMWhjODJwczIyEAE?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CBgQyvcEahgKEwjYw8i0wZX7AhUAAAAAHQAAAAAQvgE&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Hôtel Marrakech Le Semiramis,421,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChoI6v32jeWk98SpARoNL2cvMTFjbjkzNmZyMhAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CC4QyvcEahgKEwjYw8i0wZX7AhUAAAAAHQAAAAAQvgE&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Wazo Hôtel,642,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChgIpMn5ycSgzEcaDS9nLzExYjdxNWxobTMQAQ?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CEQQyvcEahgKEwjYw8i0wZX7AhUAAAAAHQAAAAAQvgE&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Palm Plaza Hôtel & Spa,1203,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChoI4ayd5-iZzeeTARoNL2cvMTFoYm40empmdBAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CFoQyvcEahgKEwjYw8i0wZX7AhUAAAAAHQAAAAAQvgE&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Zephyr Marrakech - Hôtel, Centre de Vacances, Resort & SPA,462,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChkIqd_q38jTqPRAGg0vZy8xMWM1czZxMDJqEAE?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CHAQyvcEahgKEwjYw8i0wZX7AhUAAAAAHQAAAAAQvgE&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Hôtel Atlas Asni,None,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChcI3Kr6sZHZjJN-GgsvZy8xdGRrNmpwOBAB?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CIIBEMr3BGoYChMI2MPItMGV-wIVAAAAAB0AAAAAEL4B&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Kenzi Menara Palace,1348,Marrakesh
https://www.google.com/travel/hotels/Marrakesh/entity/ChgI49Dh9py-899FGgwvZy8xcHR3Nmx6MnIQAQ?utm_campaign=sharing&utm_medium=link&utm_source=htls&ved=0CJgBEMr3BGoYChMI2MPItMGV-wIVAAAAAB0AAAAAEL4B&ts=CAESABotCg8SCzoJTWFycmFrZXNoGgASGhIUCgcI5g8QCxgeEgcI5g8QDBgBGAEyAhAAKgsKBygNOgNNQUQaAA&rp=OAE&ap=EgRDS2dCMANa0AEKBQjGChAAIgNNQUQqFgoHCOYPEAsYHhIHCOYPEAwYARgBKACwAQBYAWgBmgELEglNYXJyYWtlc2iiARUKCC9tLzA1NHJ3EglNYXJyYWtlc2iqARwKAgghEgMIkwISAggVEgMIlAISAggvEgIIVBgBqgEHCgMIswIYAKoBBwoDCKECGACqAQwKAwi2ARIDCLgBGAGqAQoKAgguEgIISBgBqgEMCgMIrgESAwi0ARgBqgEKCgIIUBICCE8YAaoBDAoDCKMBEgMIpgEYAZIBAiAB,Kenzi Rose Garden,None,Marrakesh
