hotel_id,name,price,city
124,Lotus Privilège,None,Marrakesh
125,Riad Qodwa,345,Marrakesh
126,Palm Menara Hotel Marrakech,None,Marrakesh
127,Hôtel Majorelle,377,Marrakesh
128,Hôtel Atlas,214,Marrakesh
129,Hotel Villa des Orangers Relais & Chateaux,5583,Marrakesh
130,Ryad Laârouss,467,Marrakesh
131,Hôtel Central Palace,251,Marrakesh
132,Amanjena,11799,Marrakesh
133,hotel gomassine,559,Marrakesh
134,Art Place Hotel & Ryad Marrakech,None,Marrakesh
135,Sirayane Boutique Hôtel & Spa,90040,Marrakesh
136,Riad Puchka Marrakech,788,Marrakesh
137,Hotel Hicham... The Best,None,Marrakesh
138,Riad Dia Marrakech,1441,Marrakesh
139,Hôtel Amalay,337,Marrakesh
140,Riad marrakech house,337,Marrakesh
141,Le Fitness Club,None,Marrakesh
142,Riad El Walla & Spa,1324,Marrakesh
143,Hôtel Kasbah Le Mirage,550,Marrakesh
144,Riad Hannah,515,Marrakesh
145,RIAD Hôtel Essaouira,546,Marrakesh
146,Riad Jnane Mogador,535,Marrakesh
147,Riad Nesma,1418,Marrakesh
148,Riad Palais des Princesses & SPA,1154,Marrakesh
149,Hôtel Nassim,546,Marrakesh
150,Riad Dar Justo Hotel Boutique & Spa,1598,Marrakesh
151,Riad Marrakech By Hivernage,837,Marrakesh
152,Riad Monceau (Le),1324,Marrakesh
153,DOMAINE DES REMPARTS HOTEL & SPA,2202,Marrakesh
154,Tachfine Hotel,415,Marrakesh
155,Riad Rose Du Desert,492,Marrakesh
156,Riad le Perroquet Bleu,865,Marrakesh
157,Riad Aymane,622,Marrakesh
158,Riad Le Jardin d'Abdou,864,Marrakesh
159,Palais Ronsard Relais & Châteaux.,5032,Marrakesh
160,Riad de Vinci,530,Marrakesh
161,Palais Calipau,1255,Marrakesh
162,Kaktus Hostel,None,Marrakesh
163,Al Maaden VillaHotel & Spa,2383,Marrakesh
164,Riad Kniza Marrakech,2210,Marrakesh
165,Cafe Las Torres De Majorelle,None,Marrakesh
166,L'Oliveraie de l'atlas,946,Marrakesh
167,Hotel luxe Marrakech - Palais Rhoul & Spa,6323,Marrakesh
168,Hôtel Sindi Sud,259,Marrakesh
169,Riad L'Heure d'Eté,1232,Marrakesh
170,Angsana Riads Collection Morocco,1284,Marrakesh
171,Riad Farhan,None,Marrakesh
172,Riad Kasbah,972,Marrakesh
173,DAR SABRA Hôtel Marrakech & SPA,2424,Marrakesh
174,Riad Chorfa,1288,Marrakesh
175,Riad l'Oiseau du Paradis,808,Marrakesh
176,Riad Kheirredine,None,Marrakesh
177,Hôtel Teranga Marrakech,None,Marrakesh
178,Riad Andalla,874,Marrakesh
179,Riad Elisa,1450,Marrakesh
180,Murano Resort Marrakech,1211,Marrakesh
181,Kenzi Solazur,729,Tangier
182,Hilton Garden Inn Tanger City Center,1310,Tangier
183,ibis Tanger City Center,621,Tangier
184,Farah Hotel Tanger,1481,Tangier
185,Mövenpick Hotel & Casino,1084,Tangier
186,Hilton Tanger City Center Hotel & Residences,1704,Tangier
187,ibis budget Tanger,320,Tangier
188,Marina Bay Hotel,1112,Tangier
189,Royal Tulip City Center,1321,Tangier
190,Hotel Continental,722,Tangier
191,El Oumnia Puerto Hôtel,926,Tangier
192,Ramada Encore by Wyndham Tangier,639,Tangier
193,Hotel Rembrandt,507,Tangier
194,Hotel Chellah,871,Tangier
195,El Minzah Hôtel,1436,Tangier
196,Grand Mogador,1103,Tangier
197,Mnar Castle,1095,Tangier
198,Hotel Andalucia Golf,688,Tangier
199,Restaurant Kebdani,None,Tangier
200,Barceló Tanger,1581,Tangier
201,Hôtel Tarik,505,Tangier
202,Appart Hôtel Le Rio,1103,Tangier
203,Hôtel El Djenina,522,Tangier
204,Grand Hôtel Villa de France,1426,Tangier
205,Le Mirage,None,Tangier
206,Villa Josephine,None,Tangier
207,Palais Zahia Hotel & Spa,1072,Tangier
208,Tanjah Flandria,None,Tangier
209,Ahlen,None,Tangier
210,Pension Mauritania,229,Tangier
211,Aux 3 Portes,1414,Tangier
212,Fredj Hotel & Spa,852,Tangier
213,Bayt Alice,323,Tangier
214,Dar Omar Khayam,444,Tangier
215,SENATOR HOTEL TANGER,523,Tangier
216,Hotel Royal,291,Tangier
217,Free Zone Hôtel,393,Tangier
218,Hôtel Marco Polo,437,Tangier
219,Médina Hostel,207,Tangier
220,Appart Hotel Star,None,Tangier
221,Dar Tanja,828,Tangier
222,Biarritz Hotel,436,Tangier
223,Pestana Tanger City Center,1399,Tangier
224,Mandarin Palace,1181,Tangier
225,Hôtel Étoile Du Nord,472,Tangier
226,Appart Hotel Alia,844,Tangier
227,Dar El Kasbah Eastern telegraph Company,None,Tangier
228,Hôtel Maram,297,Tangier
229,Appart-Hôtel Flamant Rose,847,Tangier
230,Dar Nour,None,Tangier
231,Riad Mokhtar,None,Tangier
232,Hotel Astoria,278,Tangier
233,Dar Jameel,None,Tangier
234,La Maison de Tanger,1293,Tangier
235,Hôtel Palais du Calife Riad & Spa,None,Tangier
236,Appart Hotel paname,655,Tangier
237,Hôtel Dixil Garden Tanger,1340,Tangier
238,Tanja Lucía Hostal,459,Tangier
239,Hotel Le Gardenia,268,Tangier
240,Hôtel Nord-Pinus Tanger,None,Tangier
241,Dar Tanger Medina,470,Tangier
242,La Tangerina,None,Tangier
243,Dar Rif,483,Tangier
244,Arous Al Bahr,None,Tangier
245,Mimi Calpe,1168,Tangier
